CALLE 1 ETP ESTRELLA CURAL NRO. -- FUNDO RUSTICO NRO 1264 LATERAL 12, UCHUMAYO, AREQUIPA, AREQUIPA
CAS. LAS NORIAS . (A 10 KM DE LA CIUDAD DE OLMOS), PUEBLO NUEVO, FERREÑAFE, LAMBAYEQUE
CALLE ATAHUALPA SN CUADRA 11, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
C.P. EL PUENTE S/N (AL LADO DEL COLEGIO), FERREÑAFE, FERREÑAFE, LAMBAYEQUE
CALLE ALFONSO UGARTE MZ 47 LTE 06 P.J STA ISABEL , CAYALTI, CHICLAYO, LAMBAYEQUE
CA SAN MARTIN S/N PPJJ SANTA ANA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CARRETERA PANAMERICANA S/N SECTOR RURAL LA PILCA 1, POMALCA, CHICLAYO, LAMBAYEQUE
CALLE SANTO DOMINGO N° 353 OLMOS, POMALCA, CHICLAYO, LAMBAYEQUE
CASERIO EL ESPINAL S/N, INCAHUASI, FERREÑAFE, LAMBAYEQUE
AV. TARAPACA N° 240, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
MZ."A" 00007 CASERIO CHILCAL ALTO S/N, SAÑA, CHICLAYO, LAMBAYEQUE
AV. SAN MARTIN 424, CHICLAYO, CHICLAYO, LAMBAYEQUE
MZ A LOTE S/N SECTOR RURAL EL PROGRESO- CARRETERA LA FLORIDA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
- REF CASERIO PUEBLO VIEJO, CHONGOYAPE, CHICLAYO, LAMBAYEQUE
AV. SAN PABLO Nº 133 , CHONGOYAPE, CHICLAYO, LAMBAYEQUE
CALLE ALAN GARCIA MZ C LOTE 17 SEC RURAL POSOPE ALTO, CHONGOYAPE, CHICLAYO, LAMBAYEQUE
MZ K LOTE 7 CPM LA CRIA, CHICLAYO, CHICLAYO, LAMBAYEQUE
CASERIO LA CANTERAS, TUCUME, LAMBAYEQUE, LAMBAYEQUE
CALLE ALAMEDA N° 10 POSOPE ALTO, LAGUNAS, CHICLAYO, LAMBAYEQUE
CAL. ACEQUIA S-N (POR LA GALLERA), SANTA ROSA, CHICLAYO, LAMBAYEQUE
VISTA FLORIDA 119-B, OYOTUN, CHICLAYO, LAMBAYEQUE
MZ A LOTE 36 URB LA PRADERA , SANTA ROSA, CHICLAYO, LAMBAYEQUE
A.H. VIRGEN DE FATIMA MZA. O LOTE. 18, SANTA ROSA, CHICLAYO, LAMBAYEQUE
CALLE LUIS HEYSEN N° 208, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
AV. INCAHUASI N° 236 - CASERIO LA TRAPOSA, TUCUME, LAMBAYEQUE, LAMBAYEQUE
AV. INCAHUASI NRO. 179 C.P. EL DESAGUADERO, TUCUME, LAMBAYEQUE, LAMBAYEQUE
CAL. LA CONSTRUCCION SN. BATANGRANDE, MORROPE, LAMBAYEQUE, LAMBAYEQUE
CASERIO LA ZARANDA, CHONGOYAPE, CHICLAYO, LAMBAYEQUE
CAL. 24 DE JUNIO SALTUR 538, PATAPO, CHICLAYO, LAMBAYEQUE
AV. SAN MARTIN S/N MZ. J LOTE 06, CHICLAYO, CHICLAYO, LAMBAYEQUE
MZ. 102 0008 CENTRO POMALCA 9 DE OCTUBRE, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
AV. APOLINARIO SALCEDO MZ. K LT. 15 CP. SAN BORJA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
AV. APOLINARIO SALCEDO MZ. K LT. 15 CP. SAN BORJA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
MZ. 68 LT. 13 CENTRO DE POMALCA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CAL. ALTO PERU NRO. 2 SECTOR LA LADRILLERA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CAL. MIGUEL PASCO 296, PITIPO, FERREÑAFE, LAMBAYEQUE
CAL. CASIMIRO CHUMAN 755, SALAS, LAMBAYEQUE, LAMBAYEQUE
MANZANA B LOTE 1 AA.HH. LAS DELICIAS, MOCHUMI, LAMBAYEQUE, LAMBAYEQUE
AA.HH. NUEVO REQUE, MZ. A LOTE 11, ILLIMO, LAMBAYEQUE, LAMBAYEQUE
CAL. DOS DE MAYO 98, FERREÑAFE, FERREÑAFE, LAMBAYEQUE
MZ. A. LOTE S.N. AA HH NUEVA CHITA ALTA, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CAS. EL SAUCE MZA. A , OLMOS, LAMBAYEQUE, LAMBAYEQUE
CAL. ANDRES AVELINO CACERES MZA. 50 LOTE. 36 , CHONGOYAPE, CHICLAYO, LAMBAYEQUE
CALLE JOSÉ GALÁN LÓPEZ 266. URB. EL PESCADOR, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE 8 DE OCTUBRE Nº 351 MZ C LOTE 2, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE AUGUSTO B. LEGUIA N° 1210 A.H. CIUDAD DEL PESCADOR, POMALCA, CHICLAYO, LAMBAYEQUE
CA. ESTEBAN PALMA CUADRA 2 SN, MORROPE, LAMBAYEQUE, LAMBAYEQUE
CALLE CRISTIAN BARNARD 304 URB LOS BALSARES, ILLIMO, LAMBAYEQUE, LAMBAYEQUE
CALLE REAL Nº 462, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE REAL 709 CERCADO, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE SAN MARCELO 360 CENTRO, PUCALA, CHICLAYO, LAMBAYEQUE
CASERIO SAN BERNARDINO S/N, CHICLAYO, CHICLAYO, LAMBAYEQUE
CAMPIÑA ZAPOTAL S/N, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
CALLE FEDERICO VILLARREAL Nº 891, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
PASAJE LA PINTADA 033 CASERIO TUCUME, PATAPO, CHICLAYO, LAMBAYEQUE
CASERIO ¿LOS REYNOZOS II ETAPA- REFE. PREDIO N° 2743, MIRAFLORES, LIMA, LAMBAYEQUE
BLOCK 7 - 717A, CHICLAYO, CHICLAYO, LAMBAYEQUE
LOS ANDES MZ.F LOTE 01, MIRAFLORES, LIMA, LAMBAYEQUE
MZ. 43 LOTE 03 SECTOR ACAPULCO, MIRAFLORES, LIMA, LAMBAYEQUE
AV. DIAGONAL 380 OFICINA 201, LA VICTORIA, CHICLAYO, LAMBAYEQUE
AV. DIAGONAL Nº 380 OF. 201, CHONGOYAPE, CHICLAYO, LAMBAYEQUE
AV. DIAGONAL N° 380 OFICINA 201, MORROPE, LAMBAYEQUE, LAMBAYEQUE
AV. COLONIAL N° 1907 INT.3 (DIRECCION SUMINITRO SUPERVISION), LIMA, LIMA, LIMA
AV. COLONIAL NRO. 1907 INT. 3 (AV. COLONIAL 1907 TIENDA SECCION 3), LIMA, LIMA, LIMA
